Date,Local Start Time,Away Team,Home Team,Venue
2025-06-26,01:10 PM CDT,Tampa Bay Rays,Kansas City Royals,Kauffman Stadium
2025-06-26,01:10 PM CDT,Philadelphia Phillies,Houston Astros,Daikin Park
2025-06-26,01:15 PM CDT,Chicago Cubs,St. Louis Cardinals,Busch Stadium
2025-06-26,01:10 PM MDT,Los Angeles Dodgers,Colorado Rockies,Coors Field
2025-06-26,12:45 PM PDT,Miami Marlins,San Francisco Giants,Oracle Park
2025-06-26,07:10 PM EDT,Atlanta Braves,New York Mets,Citi Field
2025-06-27,06:40 PM EDT,New York Mets,Pittsburgh Pirates,PNC Park
2025-06-27,07:05 PM EDT,Tampa Bay Rays,Baltimore Orioles,Oriole Park at Camden Yards
2025-06-27,07:05 PM EDT,Athletics,New York Yankees,Yankee Stadium
2025-06-27,07:10 PM EDT,San Diego Padres,Cincinnati Reds,Great American Ball Park
2025-06-27,07:10 PM EDT,St. Louis Cardinals,Cleveland Guardians,Progressive Field
2025-06-27,07:10 PM EDT,Toronto Blue Jays,Boston Red Sox,Fenway Park
2025-06-27,07:10 PM EDT,Minnesota Twins,Detroit Tigers,Comerica Park
2025-06-27,07:15 PM EDT,Philadelphia Phillies,Atlanta Braves,Truist Park
2025-06-27,06:40 PM CDT,San Francisco Giants,Chicago White Sox,Rate Field
2025-06-27,07:05 PM CDT,Seattle Mariners,Texas Rangers,Globe Life Field
2025-06-27,07:10 PM CDT,Chicago Cubs,Houston Astros,Daikin Park
2025-06-27,07:10 PM CDT,Los Angeles Dodgers,Kansas City Royals,Kauffman Stadium
2025-06-27,07:10 PM CDT,Colorado Rockies,Milwaukee Brewers,American Family Field
2025-06-27,06:38 PM PDT,Washington Nationals,Los Angeles Angels,Angel Stadium
2025-06-27,06:40 PM MST,Miami Marlins,Arizona Diamondbacks,Chase Field
2025-06-28,01:05 PM EDT,Athletics,New York Yankees,Yankee Stadium
2025-06-28,01:10 PM EDT,Minnesota Twins,Detroit Tigers,Comerica Park
2025-06-28,04:05 PM EDT,New York Mets,Pittsburgh Pirates,PNC Park
2025-06-28,04:05 PM EDT,Tampa Bay Rays,Baltimore Orioles,Oriole Park at Camden Yards
2025-06-28,03:05 PM CDT,Seattle Mariners,Texas Rangers,Globe Life Field
2025-06-28,03:10 PM CDT,Los Angeles Dodgers,Kansas City Royals,Kauffman Stadium
2025-06-28,04:10 PM EDT,San Diego Padres,Cincinnati Reds,Great American Ball Park
2025-06-28,04:10 PM EDT,St. Louis Cardinals,Cleveland Guardians,Progressive Field
2025-06-28,04:10 PM EDT,Toronto Blue Jays,Boston Red Sox,Fenway Park
2025-06-28,03:10 PM CDT,San Francisco Giants,Chicago White Sox,Rate Field
2025-06-28,01:10 PM MST,Miami Marlins,Arizona Diamondbacks,Chase Field
2025-06-28,03:10 PM CDT,Colorado Rockies,Milwaukee Brewers,American Family Field
2025-06-28,06:15 PM CDT,Chicago Cubs,Houston Astros,Daikin Park
2025-06-28,07:15 PM EDT,Philadelphia Phillies,Atlanta Braves,Truist Park
2025-06-28,06:38 PM PDT,Washington Nationals,Los Angeles Angels,Angel Stadium
2025-06-29,12:05 PM EDT,St. Louis Cardinals,Cleveland Guardians,Progressive Field
2025-06-29,01:35 PM EDT,New York Mets,Pittsburgh Pirates,PNC Park
2025-06-29,01:35 PM EDT,Tampa Bay Rays,Baltimore Orioles,Oriole Park at Camden Yards
2025-06-29,01:35 PM EDT,Toronto Blue Jays,Boston Red Sox,Fenway Park
2025-06-29,01:35 PM EDT,Philadelphia Phillies,Atlanta Braves,Truist Park
2025-06-29,01:35 PM EDT,Athletics,New York Yankees,Yankee Stadium
2025-06-29,01:40 PM EDT,San Diego Padres,Cincinnati Reds,Great American Ball Park
2025-06-29,01:10 PM CDT,Chicago Cubs,Houston Astros,Daikin Park
2025-06-29,01:10 PM CDT,Los Angeles Dodgers,Kansas City Royals,Kauffman Stadium
2025-06-29,01:10 PM CDT,San Francisco Giants,Chicago White Sox,Rate Field
2025-06-29,01:10 PM CDT,Colorado Rockies,Milwaukee Brewers,American Family Field
2025-06-29,01:35 PM CDT,Seattle Mariners,Texas Rangers,Globe Life Field
2025-06-29,01:07 PM PDT,Washington Nationals,Los Angeles Angels,Angel Stadium
2025-06-29,01:10 PM MST,Miami Marlins,Arizona Diamondbacks,Chase Field
2025-06-29,07:10 PM EDT,Minnesota Twins,Detroit Tigers,Comerica Park
2025-06-30,06:35 PM EDT,San Diego Padres,Philadelphia Phillies,Citizens Bank Park
2025-06-30,06:40 PM EDT,St. Louis Cardinals,Pittsburgh Pirates,PNC Park
2025-06-30,07:07 PM EDT,New York Yankees,Toronto Blue Jays,Rogers Centre
2025-06-30,07:10 PM EDT,Cincinnati Reds,Boston Red Sox,Fenway Park
2025-06-30,07:35 PM EDT,Athletics,Tampa Bay Rays,George M. Steinbrenner Field
2025-06-30,07:05 PM CDT,Baltimore Orioles,Texas Rangers,Globe Life Field
2025-06-30,06:40 PM PDT,Kansas City Royals,Seattle Mariners,T-Mobile Park
2025-06-30,06:40 PM MST,San Francisco Giants,Arizona Diamondbacks,Chase Field
2025-07-01,03:07 PM EDT,New York Yankees,Toronto Blue Jays,Rogers Centre
2025-07-01,06:40 PM EDT,St. Louis Cardinals,Pittsburgh Pirates,PNC Park
2025-07-01,06:40 PM EDT,Minnesota Twins,Miami Marlins,loanDepot park
2025-07-01,07:05 PM EDT,Athletics,Tampa Bay Rays,George M. Steinbrenner Field
2025-07-01,07:10 PM EDT,Cincinnati Reds,Boston Red Sox,Fenway Park
2025-07-01,07:15 PM EDT,Los Angeles Angels,Atlanta Braves,Truist Park
2025-07-01,07:05 PM CDT,Cleveland Guardians,Chicago Cubs,Wrigley Field
2025-07-01,07:05 PM CDT,Baltimore Orioles,Texas Rangers,Globe Life Field
2025-07-01,06:40 PM MDT,Houston Astros,Colorado Rockies,Coors Field
2025-07-01,06:40 PM PDT,Kansas City Royals,Seattle Mariners,T-Mobile Park
2025-07-01,06:40 PM MST,San Francisco Giants,Arizona Diamondbacks,Chase Field
2025-07-01,07:10 PM PDT,Chicago White Sox,Los Angeles Dodgers,Dodger Stadium
2025-07-01,06:35 PM EDT,San Diego Padres,Philadelphia Phillies,Citizens Bank Park
2025-07-01,06:45 PM EDT,Detroit Tigers,Washington Nationals,Nationals Park
2025-07-01,07:10 PM EDT,Milwaukee Brewers,New York Mets,Citi Field
2025-07-02,12:10 PM EDT,Athletics,Tampa Bay Rays,George M. Steinbrenner Field
2025-07-02,12:35 PM EDT,St. Louis Cardinals,Pittsburgh Pirates,PNC Park
2025-07-02,06:45 PM EDT,Detroit Tigers,Washington Nationals,Nationals Park
2025-07-02,01:05 PM EDT,San Diego Padres,Philadelphia Phillies,Citizens Bank Park
2025-07-02,07:10 PM EDT,Milwaukee Brewers,New York Mets,Citi Field
2025-07-02,06:40 PM EDT,Minnesota Twins,Miami Marlins,loanDepot park
2025-07-02,07:07 PM EDT,New York Yankees,Toronto Blue Jays,Rogers Centre
2025-07-02,07:10 PM EDT,Cincinnati Reds,Boston Red Sox,Fenway Park
2025-07-02,07:15 PM EDT,Los Angeles Angels,Atlanta Braves,Truist Park
2025-07-02,07:05 PM CDT,Cleveland Guardians,Chicago Cubs,Wrigley Field
2025-07-02,07:05 PM CDT,Baltimore Orioles,Texas Rangers,Globe Life Field
2025-07-02,06:40 PM MDT,Houston Astros,Colorado Rockies,Coors Field
2025-07-02,06:40 PM PDT,Kansas City Royals,Seattle Mariners,T-Mobile Park
2025-07-02,06:40 PM MST,San Francisco Giants,Arizona Diamondbacks,Chase Field
2025-07-02,07:10 PM PDT,Chicago White Sox,Los Angeles Dodgers,Dodger Stadium
2025-07-03,12:10 PM EDT,Minnesota Twins,Miami Marlins,loanDepot park
2025-07-03,01:10 PM MDT,Houston Astros,Colorado Rockies,Coors Field
2025-07-03,06:45 PM EDT,Detroit Tigers,Washington Nationals,Nationals Park
2025-07-03,07:07 PM EDT,New York Yankees,Toronto Blue Jays,Rogers Centre
2025-07-03,07:10 PM EDT,Milwaukee Brewers,New York Mets,Citi Field
2025-07-03,07:15 PM EDT,Los Angeles Angels,Atlanta Braves,Truist Park
2025-07-03,07:05 PM CDT,Cleveland Guardians,Chicago Cubs,Wrigley Field
2025-07-03,06:40 PM MST,San Francisco Giants,Arizona Diamondbacks,Chase Field
2025-07-03,07:10 PM PDT,Kansas City Royals,Seattle Mariners,T-Mobile Park
2025-07-03,07:10 PM PDT,Chicago White Sox,Los Angeles Dodgers,Dodger Stadium
2025-07-04,11:05 AM EDT,Boston Red Sox,Washington Nationals,Nationals Park
2025-07-04,01:05 PM EDT,Cincinnati Reds,Philadelphia Phillies,Citizens Bank Park
2025-07-04,01:20 PM CDT,St. Louis Cardinals,Chicago Cubs,Wrigley Field
2025-07-04,03:10 PM EDT,New York Yankees,New York Mets,Citi Field
2025-07-04,01:10 PM PDT,Pittsburgh Pirates,Seattle Mariners,T-Mobile Park
2025-07-04,03:10 PM CDT,Tampa Bay Rays,Minnesota Twins,Target Field
2025-07-04,03:40 PM PDT,Texas Rangers,San Diego Padres,Petco Park
2025-07-04,07:07 PM EDT,Los Angeles Angels,Toronto Blue Jays,Rogers Centre
2025-07-04,07:10 PM EDT,Detroit Tigers,Cleveland Guardians,Progressive Field
2025-07-04,07:10 PM EDT,Milwaukee Brewers,Miami Marlins,loanDepot park
2025-07-04,07:15 PM EDT,Baltimore Orioles,Atlanta Braves,Truist Park
2025-07-04,06:10 PM MDT,Chicago White Sox,Colorado Rockies,Coors Field
2025-07-04,06:10 PM PDT,Houston Astros,Los Angeles Dodgers,Dodger Stadium
2025-07-04,06:40 PM MST,Kansas City Royals,Arizona Diamondbacks,Chase Field
2025-07-04,07:05 PM PDT,San Francisco Giants,Athletics,Sutter Health Park
2025-07-05,01:10 PM CDT,Tampa Bay Rays,Minnesota Twins,Target Field
2025-07-05,01:20 PM CDT,St. Louis Cardinals,Chicago Cubs,Wrigley Field
2025-07-05,03:07 PM EDT,Los Angeles Angels,Toronto Blue Jays,Rogers Centre
2025-07-05,04:05 PM EDT,Boston Red Sox,Washington Nationals,Nationals Park
2025-07-05,04:05 PM EDT,Cincinnati Reds,Philadelphia Phillies,Citizens Bank Park
2025-07-05,01:10 PM MST,Kansas City Royals,Arizona Diamondbacks,Chase Field
2025-07-05,04:10 PM EDT,Baltimore Orioles,Atlanta Braves,Truist Park
2025-07-05,04:10 PM EDT,New York Yankees,New York Mets,Citi Field
2025-07-05,04:10 PM EDT,Milwaukee Brewers,Miami Marlins,loanDepot park
2025-07-05,07:15 PM EDT,Detroit Tigers,Cleveland Guardians,Progressive Field
2025-07-05,04:15 PM PDT,Houston Astros,Los Angeles Dodgers,Dodger Stadium
2025-07-05,07:10 PM MDT,Chicago White Sox,Colorado Rockies,Coors Field
2025-07-05,06:40 PM PDT,Texas Rangers,San Diego Padres,Petco Park
2025-07-05,07:05 PM PDT,San Francisco Giants,Athletics,Sutter Health Park
2025-07-05,07:10 PM PDT,Pittsburgh Pirates,Seattle Mariners,T-Mobile Park
2025-07-06,11:35 AM EDT,Baltimore Orioles,Atlanta Braves,Truist Park
2025-07-06,01:35 PM EDT,Boston Red Sox,Washington Nationals,Nationals Park
2025-07-06,01:35 PM EDT,Cincinnati Reds,Philadelphia Phillies,Citizens Bank Park
2025-07-06,01:37 PM EDT,Los Angeles Angels,Toronto Blue Jays,Rogers Centre
2025-07-06,01:40 PM EDT,Detroit Tigers,Cleveland Guardians,Progressive Field
2025-07-06,01:40 PM EDT,New York Yankees,New York Mets,Citi Field
2025-07-06,01:40 PM EDT,Milwaukee Brewers,Miami Marlins,loanDepot park
2025-07-06,01:10 PM CDT,Tampa Bay Rays,Minnesota Twins,Target Field
2025-07-06,01:10 PM MDT,Chicago White Sox,Colorado Rockies,Coors Field
2025-07-06,01:10 PM MST,Kansas City Royals,Arizona Diamondbacks,Chase Field
2025-07-06,01:10 PM PDT,Houston Astros,Los Angeles Dodgers,Dodger Stadium
2025-07-06,01:10 PM PDT,Pittsburgh Pirates,Seattle Mariners,T-Mobile Park
2025-07-06,05:10 PM CDT,St. Louis Cardinals,Chicago Cubs,Wrigley Field
2025-07-06,06:10 PM PDT,Texas Rangers,San Diego Padres,Petco Park
2025-07-06,07:05 PM PDT,San Francisco Giants,Athletics,Sutter Health Park
2025-07-07,06:40 PM EDT,Tampa Bay Rays,Detroit Tigers,Comerica Park
2025-07-07,07:10 PM EDT,Colorado Rockies,Boston Red Sox,Fenway Park
2025-07-07,07:10 PM EDT,Miami Marlins,Cincinnati Reds,Great American Ball Park
2025-07-07,06:40 PM CDT,Pittsburgh Pirates,Kansas City Royals,Kauffman Stadium
2025-07-07,06:40 PM CDT,Toronto Blue Jays,Chicago White Sox,Rate Field
2025-07-07,06:40 PM CDT,Los Angeles Dodgers,Milwaukee Brewers,American Family Field
2025-07-07,07:10 PM CDT,Cleveland Guardians,Houston Astros,Daikin Park
2025-07-07,06:38 PM PDT,Texas Rangers,Los Angeles Angels,Angel Stadium
2025-07-07,06:40 PM PDT,Arizona Diamondbacks,San Diego Padres,Petco Park
2025-07-07,06:45 PM PDT,Philadelphia Phillies,San Francisco Giants,Oracle Park
2025-07-08,06:35 PM EDT,New York Mets,Baltimore Orioles,Oriole Park at Camden Yards
2025-07-08,06:40 PM EDT,Tampa Bay Rays,Detroit Tigers,Comerica Park
2025-07-08,07:05 PM EDT,Seattle Mariners,New York Yankees,Yankee Stadium
2025-07-08,07:10 PM EDT,Colorado Rockies,Boston Red Sox,Fenway Park
2025-07-08,07:10 PM EDT,Miami Marlins,Cincinnati Reds,Great American Ball Park
2025-07-08,06:40 PM CDT,Pittsburgh Pirates,Kansas City Royals,Kauffman Stadium
2025-07-08,06:40 PM CDT,Chicago Cubs,Minnesota Twins,Target Field
2025-07-08,06:40 PM CDT,Toronto Blue Jays,Chicago White Sox,Rate Field
2025-07-08,06:40 PM CDT,Los Angeles Dodgers,Milwaukee Brewers,American Family Field
2025-07-08,06:45 PM CDT,Washington Nationals,St. Louis Cardinals,Busch Stadium
2025-07-08,07:10 PM CDT,Cleveland Guardians,Houston Astros,Daikin Park
2025-07-08,06:38 PM PDT,Texas Rangers,Los Angeles Angels,Angel Stadium
2025-07-08,06:40 PM PDT,Arizona Diamondbacks,San Diego Padres,Petco Park
2025-07-08,06:45 PM PDT,Philadelphia Phillies,San Francisco Giants,Oracle Park
2025-07-08,07:05 PM PDT,Atlanta Braves,Athletics,Sutter Health Park
2025-07-09,01:10 PM CDT,Toronto Blue Jays,Chicago White Sox,Rate Field
2025-07-09,01:10 PM CDT,Los Angeles Dodgers,Milwaukee Brewers,American Family Field
2025-07-09,12:45 PM PDT,Philadelphia Phillies,San Francisco Giants,Oracle Park
2025-07-09,05:10 PM EDT,Tampa Bay Rays,Detroit Tigers,Comerica Park
2025-07-09,07:05 PM EDT,Seattle Mariners,New York Yankees,Yankee Stadium
2025-07-09,07:10 PM EDT,Colorado Rockies,Boston Red Sox,Fenway Park
2025-07-09,07:10 PM EDT,Miami Marlins,Cincinnati Reds,Great American Ball Park
2025-07-09,06:40 PM CDT,Pittsburgh Pirates,Kansas City Royals,Kauffman Stadium
2025-07-09,06:40 PM CDT,Chicago Cubs,Minnesota Twins,Target Field
2025-07-09,06:45 PM CDT,Washington Nationals,St. Louis Cardinals,Busch Stadium
2025-07-09,07:10 PM CDT,Cleveland Guardians,Houston Astros,Daikin Park
2025-07-09,06:38 PM PDT,Texas Rangers,Los Angeles Angels,Angel Stadium
2025-07-09,06:40 PM PDT,Arizona Diamondbacks,San Diego Padres,Petco Park
2025-07-09,07:05 PM PDT,Atlanta Braves,Athletics,Sutter Health Park
2025-07-09,07:05 PM EDT,New York Mets,Baltimore Orioles,Oriole Park at Camden Yards
2025-07-10,12:05 PM EDT,New York Mets,Baltimore Orioles,Oriole Park at Camden Yards
2025-07-10,12:10 PM CDT,Chicago Cubs,Minnesota Twins,Target Field
2025-07-10,05:10 PM EDT,Miami Marlins,Cincinnati Reds,Great American Ball Park
2025-07-10,07:05 PM EDT,Seattle Mariners,New York Yankees,Yankee Stadium
2025-07-10,07:10 PM EDT,Tampa Bay Rays,Boston Red Sox,Fenway Park
2025-07-10,06:45 PM CDT,Washington Nationals,St. Louis Cardinals,Busch Stadium
2025-07-10,06:05 PM PDT,Atlanta Braves,Athletics,Sutter Health Park
2025-07-10,06:38 PM PDT,Texas Rangers,Los Angeles Angels,Angel Stadium
2025-07-10,06:40 PM PDT,Arizona Diamondbacks,San Diego Padres,Petco Park
2025-07-10,06:40 PM CDT,Cleveland Guardians,Chicago White Sox,Rate Field
2025-07-11,07:10 PM CDT,Cleveland Guardians,Chicago White Sox,Rate Field
2025-07-11,07:05 PM EDT,Miami Marlins,Baltimore Orioles,Oriole Park at Camden Yards
2025-07-11,07:05 PM EDT,Chicago Cubs,New York Yankees,Yankee Stadium
2025-07-11,07:10 PM EDT,Colorado Rockies,Cincinnati Reds,Great American Ball Park
2025-07-11,07:10 PM EDT,Seattle Mariners,Detroit Tigers,Comerica Park
2025-07-11,07:10 PM EDT,Tampa Bay Rays,Boston Red Sox,Fenway Park
2025-07-11,07:10 PM CDT,New York Mets,Kansas City Royals,Kauffman Stadium
2025-07-11,07:10 PM CDT,Texas Rangers,Houston Astros,Daikin Park
2025-07-11,07:10 PM CDT,Pittsburgh Pirates,Minnesota Twins,Target Field
2025-07-11,07:10 PM CDT,Washington Nationals,Milwaukee Brewers,American Family Field
2025-07-11,07:15 PM CDT,Atlanta Braves,St. Louis Cardinals,Busch Stadium
2025-07-11,06:38 PM PDT,Arizona Diamondbacks,Los Angeles Angels,Angel Stadium
2025-07-11,06:40 PM PDT,Philadelphia Phillies,San Diego Padres,Petco Park
2025-07-11,07:05 PM PDT,Toronto Blue Jays,Athletics,Sutter Health Park
2025-07-11,07:15 PM PDT,Los Angeles Dodgers,San Francisco Giants,Oracle Park
2025-07-12,01:05 PM EDT,Chicago Cubs,New York Yankees,Yankee Stadium
2025-07-12,01:10 PM EDT,Seattle Mariners,Detroit Tigers,Comerica Park
2025-07-12,01:10 PM CDT,Pittsburgh Pirates,Minnesota Twins,Target Field
2025-07-12,01:15 PM CDT,Atlanta Braves,St. Louis Cardinals,Busch Stadium
2025-07-12,01:05 PM PDT,Los Angeles Dodgers,San Francisco Giants,Oracle Park
2025-07-12,04:05 PM EDT,Miami Marlins,Baltimore Orioles,Oriole Park at Camden Yards
2025-07-12,04:10 PM EDT,Colorado Rockies,Cincinnati Reds,Great American Ball Park
2025-07-12,03:10 PM CDT,New York Mets,Kansas City Royals,Kauffman Stadium
2025-07-12,04:10 PM EDT,Tampa Bay Rays,Boston Red Sox,Fenway Park
2025-07-12,03:10 PM CDT,Cleveland Guardians,Chicago White Sox,Rate Field
2025-07-12,03:10 PM CDT,Washington Nationals,Milwaukee Brewers,American Family Field
2025-07-12,06:35 PM CDT,Texas Rangers,Houston Astros,Daikin Park
2025-07-12,04:35 PM PDT,Philadelphia Phillies,San Diego Padres,Petco Park
2025-07-12,06:38 PM PDT,Arizona Diamondbacks,Los Angeles Angels,Angel Stadium
2025-07-12,07:05 PM PDT,Toronto Blue Jays,Athletics,Sutter Health Park
2025-07-13,01:35 PM EDT,Tampa Bay Rays,Boston Red Sox,Fenway Park
2025-07-13,01:35 PM EDT,Miami Marlins,Baltimore Orioles,Oriole Park at Camden Yards
2025-07-13,01:35 PM EDT,Chicago Cubs,New York Yankees,Yankee Stadium
2025-07-13,01:40 PM EDT,Colorado Rockies,Cincinnati Reds,Great American Ball Park
2025-07-13,01:40 PM EDT,Seattle Mariners,Detroit Tigers,Comerica Park
2025-07-13,01:10 PM CDT,New York Mets,Kansas City Royals,Kauffman Stadium
2025-07-13,01:10 PM CDT,Texas Rangers,Houston Astros,Daikin Park
2025-07-13,01:10 PM CDT,Pittsburgh Pirates,Minnesota Twins,Target Field
2025-07-13,01:10 PM CDT,Cleveland Guardians,Chicago White Sox,Rate Field
2025-07-13,01:10 PM CDT,Washington Nationals,Milwaukee Brewers,American Family Field
2025-07-13,01:15 PM CDT,Atlanta Braves,St. Louis Cardinals,Busch Stadium
2025-07-13,01:05 PM PDT,Los Angeles Dodgers,San Francisco Giants,Oracle Park
2025-07-13,01:05 PM PDT,Toronto Blue Jays,Athletics,Sutter Health Park
2025-07-13,01:07 PM PDT,Arizona Diamondbacks,Los Angeles Angels,Angel Stadium
2025-07-13,01:10 PM PDT,Philadelphia Phillies,San Diego Padres,Petco Park
2025-07-18,01:20 PM CDT,Boston Red Sox,Chicago Cubs,Wrigley Field
2025-07-18,06:40 PM EDT,Chicago White Sox,Pittsburgh Pirates,PNC Park
2025-07-18,06:45 PM EDT,San Diego Padres,Washington Nationals,Nationals Park
2025-07-18,06:45 PM EDT,Los Angeles Angels,Philadelphia Phillies,Citizens Bank Park
2025-07-18,07:07 PM EDT,San Francisco Giants,Toronto Blue Jays,Rogers Centre
2025-07-18,07:10 PM EDT,Cincinnati Reds,New York Mets,Citi Field
2025-07-18,07:10 PM EDT,Athletics,Cleveland Guardians,Progressive Field
2025-07-18,07:10 PM EDT,Kansas City Royals,Miami Marlins,loanDepot park
2025-07-18,07:15 PM EDT,New York Yankees,Atlanta Braves,Truist Park
2025-07-18,07:35 PM EDT,Baltimore Orioles,Tampa Bay Rays,George M. Steinbrenner Field
2025-07-18,07:05 PM CDT,Detroit Tigers,Texas Rangers,Globe Life Field
2025-07-18,06:40 PM MDT,Minnesota Twins,Colorado Rockies,Coors Field
2025-07-18,06:40 PM MST,St. Louis Cardinals,Arizona Diamondbacks,Chase Field
2025-07-18,07:10 PM PDT,Houston Astros,Seattle Mariners,T-Mobile Park
2025-07-18,07:10 PM PDT,Milwaukee Brewers,Los Angeles Dodgers,Dodger Stadium
2025-07-19,03:07 PM EDT,San Francisco Giants,Toronto Blue Jays,Rogers Centre
2025-07-19,04:10 PM EDT,Cincinnati Reds,New York Mets,Citi Field
2025-07-19,04:10 PM EDT,Kansas City Royals,Miami Marlins,loanDepot park
2025-07-19,06:05 PM EDT,Los Angeles Angels,Philadelphia Phillies,Citizens Bank Park
2025-07-19,06:40 PM EDT,Chicago White Sox,Pittsburgh Pirates,PNC Park
2025-07-19,06:45 PM EDT,San Diego Padres,Washington Nationals,Nationals Park
2025-07-19,07:05 PM EDT,Baltimore Orioles,Tampa Bay Rays,George M. Steinbrenner Field
2025-07-19,06:05 PM CDT,Detroit Tigers,Texas Rangers,Globe Life Field
2025-07-19,07:10 PM EDT,Athletics,Cleveland Guardians,Progressive Field
2025-07-19,06:15 PM CDT,Boston Red Sox,Chicago Cubs,Wrigley Field
2025-07-19,04:15 PM MST,St. Louis Cardinals,Arizona Diamondbacks,Chase Field
2025-07-19,07:15 PM EDT,New York Yankees,Atlanta Braves,Truist Park
2025-07-19,06:10 PM MDT,Minnesota Twins,Colorado Rockies,Coors Field
2025-07-19,06:10 PM PDT,Milwaukee Brewers,Los Angeles Dodgers,Dodger Stadium
2025-07-19,06:40 PM PDT,Houston Astros,Seattle Mariners,T-Mobile Park
2025-07-20,12:05 PM EDT,San Francisco Giants,Toronto Blue Jays,Rogers Centre
2025-07-20,12:10 PM EDT,Baltimore Orioles,Tampa Bay Rays,George M. Steinbrenner Field
2025-07-20,01:35 PM EDT,San Diego Padres,Washington Nationals,Nationals Park
2025-07-20,01:35 PM EDT,Los Angeles Angels,Philadelphia Phillies,Citizens Bank Park
2025-07-20,01:35 PM EDT,Chicago White Sox,Pittsburgh Pirates,PNC Park
2025-07-20,01:35 PM EDT,New York Yankees,Atlanta Braves,Truist Park
2025-07-20,01:40 PM EDT,Cincinnati Reds,New York Mets,Citi Field
2025-07-20,01:40 PM EDT,Athletics,Cleveland Guardians,Progressive Field
2025-07-20,01:40 PM EDT,Kansas City Royals,Miami Marlins,loanDepot park
2025-07-20,01:20 PM CDT,Boston Red Sox,Chicago Cubs,Wrigley Field
2025-07-20,01:10 PM MDT,Minnesota Twins,Colorado Rockies,Coors Field
2025-07-20,01:10 PM PDT,Houston Astros,Seattle Mariners,T-Mobile Park
2025-07-20,01:10 PM MST,St. Louis Cardinals,Arizona Diamondbacks,Chase Field
2025-07-20,01:10 PM PDT,Milwaukee Brewers,Los Angeles Dodgers,Dodger Stadium
2025-07-20,06:10 PM CDT,Detroit Tigers,Texas Rangers,Globe Life Field
2025-07-21,06:40 PM EDT,Baltimore Orioles,Cleveland Guardians,Progressive Field
2025-07-21,06:40 PM EDT,Detroit Tigers,Pittsburgh Pirates,PNC Park
2025-07-21,06:40 PM EDT,San Diego Padres,Miami Marlins,loanDepot park
2025-07-21,06:45 PM EDT,Cincinnati Reds,Washington Nationals,Nationals Park
2025-07-21,06:45 PM EDT,Boston Red Sox,Philadelphia Phillies,Citizens Bank Park
2025-07-21,07:07 PM EDT,New York Yankees,Toronto Blue Jays,Rogers Centre
2025-07-21,07:10 PM EDT,Los Angeles Angels,New York Mets,Citi Field
2025-07-21,07:15 PM EDT,San Francisco Giants,Atlanta Braves,Truist Park
2025-07-21,07:35 PM EDT,Chicago White Sox,Tampa Bay Rays,George M. Steinbrenner Field
2025-07-21,07:05 PM CDT,Kansas City Royals,Chicago Cubs,Wrigley Field
2025-07-21,07:05 PM CDT,Athletics,Texas Rangers,Globe Life Field
2025-07-21,06:40 PM MDT,St. Louis Cardinals,Colorado Rockies,Coors Field
2025-07-21,06:40 PM MST,Houston Astros,Arizona Diamondbacks,Chase Field
2025-07-21,06:40 PM PDT,Milwaukee Brewers,Seattle Mariners,T-Mobile Park
2025-07-21,07:10 PM PDT,Minnesota Twins,Los Angeles Dodgers,Dodger Stadium
2025-07-22,06:40 PM EDT,Baltimore Orioles,Cleveland Guardians,Progressive Field
2025-07-22,06:40 PM EDT,Detroit Tigers,Pittsburgh Pirates,PNC Park
2025-07-22,06:40 PM EDT,San Diego Padres,Miami Marlins,loanDepot park
2025-07-22,06:45 PM EDT,Cincinnati Reds,Washington Nationals,Nationals Park
2025-07-22,06:45 PM EDT,Boston Red Sox,Philadelphia Phillies,Citizens Bank Park
2025-07-22,07:05 PM EDT,Chicago White Sox,Tampa Bay Rays,George M. Steinbrenner Field
2025-07-22,07:07 PM EDT,New York Yankees,Toronto Blue Jays,Rogers Centre
2025-07-22,07:10 PM EDT,Los Angeles Angels,New York Mets,Citi Field
2025-07-22,07:15 PM EDT,San Francisco Giants,Atlanta Braves,Truist Park
2025-07-22,07:05 PM CDT,Kansas City Royals,Chicago Cubs,Wrigley Field
2025-07-22,07:05 PM CDT,Athletics,Texas Rangers,Globe Life Field
2025-07-22,06:40 PM MDT,St. Louis Cardinals,Colorado Rockies,Coors Field
2025-07-22,06:40 PM MST,Houston Astros,Arizona Diamondbacks,Chase Field
2025-07-22,06:40 PM PDT,Milwaukee Brewers,Seattle Mariners,T-Mobile Park
2025-07-22,07:10 PM PDT,Minnesota Twins,Los Angeles Dodgers,Dodger Stadium
2025-07-23,12:05 PM EDT,Cincinnati Reds,Washington Nationals,Nationals Park
2025-07-23,12:10 PM EDT,San Diego Padres,Miami Marlins,loanDepot park
2025-07-23,12:15 PM EDT,San Francisco Giants,Atlanta Braves,Truist Park
2025-07-23,12:35 PM EDT,Detroit Tigers,Pittsburgh Pirates,PNC Park
2025-07-23,01:10 PM EDT,Los Angeles Angels,New York Mets,Citi Field
2025-07-23,01:20 PM CDT,Kansas City Royals,Chicago Cubs,Wrigley Field
2025-07-23,01:10 PM MDT,St. Louis Cardinals,Colorado Rockies,Coors Field
2025-07-23,12:40 PM MST,Houston Astros,Arizona Diamondbacks,Chase Field
2025-07-23,12:40 PM PDT,Milwaukee Brewers,Seattle Mariners,T-Mobile Park
