Date,Local Start Time,Away Team,Home Team,Venue
2025-04-08,06:40 PM MST,Baltimore Orioles,Arizona Diamondbacks,Chase Field
2025-04-08,06:40 PM PDT,Houston Astros,Seattle Mariners,T-Mobile Park
2025-04-08,06:45 PM PDT,Cincinnati Reds,San Francisco Giants,Oracle Park
2025-04-08,07:05 PM PDT,San Diego Padres,Athletics,Sutter Health Park
2025-04-09,12:35 PM EDT,St. Louis Cardinals,Pittsburgh Pirates,PNC Park
2025-04-09,01:10 PM EDT,Miami Marlins,New York Mets,Citi Field
2025-04-09,01:10 PM EDT,New York Yankees,Detroit Tigers,Comerica Park
2025-04-09,01:20 PM CDT,Texas Rangers,Chicago Cubs,Wrigley Field
2025-04-09,12:35 PM PDT,San Diego Padres,Athletics,Sutter Health Park
2025-04-09,12:40 PM MST,Baltimore Orioles,Arizona Diamondbacks,Chase Field
2025-04-09,12:45 PM PDT,Cincinnati Reds,San Francisco Giants,Oracle Park
2025-04-09,04:05 PM EDT,Los Angeles Dodgers,Washington Nationals,Nationals Park
2025-04-09,01:10 PM PDT,Houston Astros,Seattle Mariners,T-Mobile Park
2025-04-09,06:10 PM EDT,Chicago White Sox,Cleveland Guardians,Progressive Field
2025-04-09,06:45 PM EDT,Toronto Blue Jays,Boston Red Sox,Fenway Park
2025-04-09,07:05 PM EDT,Los Angeles Angels,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-09,07:15 PM EDT,Philadelphia Phillies,Atlanta Braves,Truist Park
2025-04-09,06:40 PM CDT,Minnesota Twins,Kansas City Royals,Kauffman Stadium
2025-04-09,06:40 PM MDT,Milwaukee Brewers,Colorado Rockies,Coors Field
2025-04-10,01:10 PM EDT,Los Angeles Angels,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-10,01:10 PM EDT,Chicago White Sox,Cleveland Guardians,Progressive Field
2025-04-10,01:10 PM CDT,Minnesota Twins,Kansas City Royals,Kauffman Stadium
2025-04-10,01:10 PM MDT,Milwaukee Brewers,Colorado Rockies,Coors Field
2025-04-10,04:10 PM EDT,Toronto Blue Jays,Boston Red Sox,Fenway Park
2025-04-10,07:15 PM EDT,Philadelphia Phillies,Atlanta Braves,Truist Park
2025-04-11,06:10 PM EDT,Kansas City Royals,Cleveland Guardians,Progressive Field
2025-04-11,06:40 PM EDT,Pittsburgh Pirates,Cincinnati Reds,Great American Ball Park
2025-04-11,07:05 PM EDT,Atlanta Braves,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-11,07:05 PM EDT,San Francisco Giants,New York Yankees,Yankee Stadium
2025-04-11,07:10 PM EDT,Washington Nationals,Miami Marlins,loanDepot park
2025-04-11,06:40 PM CDT,Boston Red Sox,Chicago White Sox,Rate Field
2025-04-11,07:10 PM CDT,Los Angeles Angels,Houston Astros,Daikin Park
2025-04-11,07:10 PM CDT,Detroit Tigers,Minnesota Twins,Target Field
2025-04-11,07:15 PM CDT,Philadelphia Phillies,St. Louis Cardinals,Busch Stadium
2025-04-11,06:40 PM PDT,Colorado Rockies,San Diego Padres,Petco Park
2025-04-11,06:40 PM PDT,Texas Rangers,Seattle Mariners,T-Mobile Park
2025-04-11,06:40 PM MST,Milwaukee Brewers,Arizona Diamondbacks,Chase Field
2025-04-11,07:05 PM PDT,New York Mets,Athletics,Sutter Health Park
2025-04-11,07:10 PM PDT,Chicago Cubs,Los Angeles Dodgers,Dodger Stadium
2025-04-11,07:05 PM EDT,Toronto Blue Jays,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-12,01:10 PM CDT,Detroit Tigers,Minnesota Twins,Target Field
2025-04-12,01:15 PM CDT,Philadelphia Phillies,St. Louis Cardinals,Busch Stadium
2025-04-12,03:05 PM EDT,San Francisco Giants,New York Yankees,Yankee Stadium
2025-04-12,01:05 PM PDT,New York Mets,Athletics,Sutter Health Park
2025-04-12,04:05 PM EDT,Toronto Blue Jays,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-12,04:10 PM EDT,Atlanta Braves,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-12,03:10 PM CDT,Boston Red Sox,Chicago White Sox,Rate Field
2025-04-12,04:10 PM EDT,Washington Nationals,Miami Marlins,loanDepot park
2025-04-12,06:10 PM EDT,Kansas City Royals,Cleveland Guardians,Progressive Field
2025-04-12,06:40 PM EDT,Pittsburgh Pirates,Cincinnati Reds,Great American Ball Park
2025-04-12,06:10 PM CDT,Los Angeles Angels,Houston Astros,Daikin Park
2025-04-12,05:10 PM MST,Milwaukee Brewers,Arizona Diamondbacks,Chase Field
2025-04-12,05:40 PM PDT,Colorado Rockies,San Diego Padres,Petco Park
2025-04-12,06:10 PM PDT,Chicago Cubs,Los Angeles Dodgers,Dodger Stadium
2025-04-12,06:40 PM PDT,Texas Rangers,Seattle Mariners,T-Mobile Park
2025-04-13,01:35 PM EDT,Toronto Blue Jays,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-13,01:35 PM EDT,San Francisco Giants,New York Yankees,Yankee Stadium
2025-04-13,01:40 PM EDT,Kansas City Royals,Cleveland Guardians,Progressive Field
2025-04-13,01:40 PM EDT,Pittsburgh Pirates,Cincinnati Reds,Great American Ball Park
2025-04-13,01:40 PM EDT,Atlanta Braves,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-13,01:40 PM EDT,Washington Nationals,Miami Marlins,loanDepot park
2025-04-13,01:10 PM CDT,Los Angeles Angels,Houston Astros,Daikin Park
2025-04-13,01:10 PM CDT,Detroit Tigers,Minnesota Twins,Target Field
2025-04-13,01:10 PM CDT,Boston Red Sox,Chicago White Sox,Rate Field
2025-04-13,01:15 PM CDT,Philadelphia Phillies,St. Louis Cardinals,Busch Stadium
2025-04-13,01:05 PM PDT,New York Mets,Athletics,Sutter Health Park
2025-04-13,01:10 PM PDT,Colorado Rockies,San Diego Padres,Petco Park
2025-04-13,01:10 PM PDT,Texas Rangers,Seattle Mariners,T-Mobile Park
2025-04-13,01:10 PM MST,Milwaukee Brewers,Arizona Diamondbacks,Chase Field
2025-04-13,04:10 PM PDT,Chicago Cubs,Los Angeles Dodgers,Dodger Stadium
2025-04-14,06:40 PM EDT,Washington Nationals,Pittsburgh Pirates,PNC Park
2025-04-14,06:45 PM EDT,San Francisco Giants,Philadelphia Phillies,Citizens Bank Park
2025-04-14,07:05 PM EDT,Boston Red Sox,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-14,07:05 PM EDT,Kansas City Royals,New York Yankees,Yankee Stadium
2025-04-14,07:07 PM EDT,Atlanta Braves,Toronto Blue Jays,Rogers Centre
2025-04-14,06:40 PM CDT,New York Mets,Minnesota Twins,Target Field
2025-04-14,06:40 PM CDT,Detroit Tigers,Milwaukee Brewers,American Family Field
2025-04-14,06:45 PM CDT,Houston Astros,St. Louis Cardinals,Busch Stadium
2025-04-14,06:40 PM PDT,Chicago Cubs,San Diego Padres,Petco Park
2025-04-14,07:10 PM PDT,Colorado Rockies,Los Angeles Dodgers,Dodger Stadium
2025-04-15,06:40 PM EDT,Washington Nationals,Pittsburgh Pirates,PNC Park
2025-04-15,06:40 PM EDT,Seattle Mariners,Cincinnati Reds,Great American Ball Park
2025-04-15,06:40 PM EDT,Arizona Diamondbacks,Miami Marlins,loanDepot park
2025-04-15,06:45 PM EDT,San Francisco Giants,Philadelphia Phillies,Citizens Bank Park
2025-04-15,07:05 PM EDT,Cleveland Guardians,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-15,07:05 PM EDT,Boston Red Sox,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-15,07:05 PM EDT,Kansas City Royals,New York Yankees,Yankee Stadium
2025-04-15,07:07 PM EDT,Atlanta Braves,Toronto Blue Jays,Rogers Centre
2025-04-15,06:40 PM CDT,New York Mets,Minnesota Twins,Target Field
2025-04-15,06:40 PM CDT,Athletics,Chicago White Sox,Rate Field
2025-04-15,06:40 PM CDT,Detroit Tigers,Milwaukee Brewers,American Family Field
2025-04-15,06:45 PM CDT,Houston Astros,St. Louis Cardinals,Busch Stadium
2025-04-15,07:05 PM CDT,Los Angeles Angels,Texas Rangers,Globe Life Field
2025-04-15,06:40 PM PDT,Chicago Cubs,San Diego Padres,Petco Park
2025-04-15,07:10 PM PDT,Colorado Rockies,Los Angeles Dodgers,Dodger Stadium
2025-04-16,01:07 PM EDT,Atlanta Braves,Toronto Blue Jays,Rogers Centre
2025-04-16,12:10 PM CDT,New York Mets,Minnesota Twins,Target Field
2025-04-16,12:10 PM CDT,Detroit Tigers,Milwaukee Brewers,American Family Field
2025-04-16,12:15 PM CDT,Houston Astros,St. Louis Cardinals,Busch Stadium
2025-04-16,01:10 PM PDT,Chicago Cubs,San Diego Padres,Petco Park
2025-04-16,06:35 PM EDT,Cleveland Guardians,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-16,06:40 PM EDT,Washington Nationals,Pittsburgh Pirates,PNC Park
2025-04-16,06:40 PM EDT,Seattle Mariners,Cincinnati Reds,Great American Ball Park
2025-04-16,06:40 PM EDT,Arizona Diamondbacks,Miami Marlins,loanDepot park
2025-04-16,06:45 PM EDT,San Francisco Giants,Philadelphia Phillies,Citizens Bank Park
2025-04-16,07:05 PM EDT,Boston Red Sox,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-16,07:05 PM EDT,Kansas City Royals,New York Yankees,Yankee Stadium
2025-04-16,06:40 PM CDT,Athletics,Chicago White Sox,Rate Field
2025-04-16,07:05 PM CDT,Los Angeles Angels,Texas Rangers,Globe Life Field
2025-04-16,07:10 PM PDT,Colorado Rockies,Los Angeles Dodgers,Dodger Stadium
2025-04-17,12:10 PM EDT,Arizona Diamondbacks,Miami Marlins,loanDepot park
2025-04-17,12:35 PM EDT,Washington Nationals,Pittsburgh Pirates,PNC Park
2025-04-17,12:40 PM EDT,Seattle Mariners,Cincinnati Reds,Great American Ball Park
2025-04-17,01:10 PM CDT,Athletics,Chicago White Sox,Rate Field
2025-04-17,04:05 PM EDT,San Francisco Giants,Philadelphia Phillies,Citizens Bank Park
2025-04-17,06:35 PM EDT,Cleveland Guardians,Baltimore Orioles,Oriole Park at Camden Yards
2025-04-17,06:40 PM EDT,Kansas City Royals,Detroit Tigers,Comerica Park
2025-04-17,07:05 PM EDT,New York Yankees,Tampa Bay Rays,George M. Steinbrenner Field
2025-04-17,07:10 PM EDT,St. Louis Cardinals,New York Mets,Citi Field
